Registration cost,Travel and lodging costs,Time/expense associated with travel visas or other international travel constraints,Availability of outside funding,Time commitment,Meeting location convenience,Meeting location desirability,Time of year,Keynote speakers or other distinguished scientists,Attendance of others from your institution,Meeting theme and science focus,Special session topic and invitation to present,Networking opportunities
Important,Important,Not important,Extremely important,Important,Important,Important,Important,Very important,Very important,Very important,Very important,Very important
Not important,Very important,Not important,Extremely important,Not important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Important,Extremely important
Very important,Very important,Somewhat important,Very important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Not important,Not important,Somewhat important,Very important
Very important,Very important,Important,Somewhat important,Very important,Important,Important,Very important,Important,Very important,Important,Very important,Very important
Not important,Somewhat important,Not important,Very important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Very important
Important,Important,Somewhat important,Very important,Not important,Somewhat important,Somewhat important,Important,Not important,Somewhat important,Not important,Somewhat important,Extremely important
Important,Important,Important,Very important,Important,Important,Very important,Important,Somewhat important,Somewhat important,Somewhat important,Important,Important
Very important,Very important,Not important,Extremely important,Very important,Important,Somewhat important,Not important,Somewhat important,Not important,Somewhat important,Not important,Important
Important,Somewhat important,Not important,Extremely important,Very important,Very important,Very important,Important,Somewhat important,Somewhat important,Very important,Extremely important,Extremely important
Not important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Somewhat important
Somewhat important,Somewhat important,Not important,Extremely important,Somewhat important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
Somewhat important,Somewhat important,Somewhat important,Extremely important,Important,Important,Important,Important,Somewhat important,Very important,Somewhat important,Very important,Extremely important
Very important,Very important,Not important,Important,Not important,Important,Somewhat important,Not important,Not important,Somewhat important,Not important,Somewhat important,Important
Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Not important,Not important,Important,Very important
Important,Very important,Important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important
Very important,Extremely important,Not important,Very important,Not important,Important,Important,Very important,Somewhat important,Very important,Important,Very important,Extremely important
Not important,Not important,Not important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Extremely important,Extremely important,Extremely important,Somewhat important,Not important
Somewhat important,Very important,Extremely important,Extremely important,Somewhat important,Important,Not important,Important,Not important,Not important,Not important,Somewhat important,Very important
Important,Important,NA,Somewhat important,Important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important
Important,Important,Important,Very important,Very important,Very important,Very important,Very important,Not important,Not important,NA,Extremely important,Not important
Not important,Somewhat important,Not important,Important,Not important,Important,Not important,Not important,Not important,Not important,Not important,Somewhat important,Not important
Very important,Extremely important,Extremely important,Extremely important,Very important,Very important,Important,Very important,Important,Very important,Important,Extremely important,Very important
Somewhat important,Important,Not important,Not important,Very important,Very important,Somewhat important,Very important,Somewhat important,Not important,Not important,Extremely important,Important
Extremely important,Extremely important,Not important,Very important,Important,Important,Somewhat important,Important,Not important,Not important,Not important,Important,Very important
Important,Important,Don't know/Unsure,Important,Important,Important,Extremely important,Important,Important,Very important,Important,Very important,Very important
Extremely important,Very important,Important,Very important,Very important,Important,Somewhat important,Important,Somewhat important,Somewhat important,Not important,Not important,Important
Very important,Very important,Not important,Important,Somewhat important,Very important,Very important,Very important,Not important,Somewhat important,Not important,Important,Somewhat important
Not important,Somewhat important,Not important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Not important,Not important,Not important,Important,Extremely important
Important,Very important,Extremely important,Extremely important,Somewhat important,Very important,Not important,Important,Somewhat important,Not important,Not important,Not important,Extremely important
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Very important,Extremely important,Extremely important
Somewhat important,Very important,Not important,Very important,Not important,Not important,Not important,Somewhat important,Not important,Not important,Not important,Not important,Extremely important
Important,Very important,Not important,Extremely important,Very important,Very important,Very important,Extremely important,Not important,Very important,Not important,Somewhat important,Very important
Important,Very important,Very important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Not important,Important,Important,Very important
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Important,Somewhat important,Somewhat important,Somewhat important,Very important
Important,Important,Not important,Important,Important,Very important,Important,Important,Not important,Important,Important,Somewhat important,Important
Extremely important,Extremely important,Somewhat important,Extremely important,Somewhat important,Important,Important,Very important,Important,Not important,Somewhat important,Very important,Extremely important
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Important,Important,Important,Extremely important,Important,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Extremely important,Extremely important,Don't know/Unsure,Extremely important,Very important,Not important,Not important,Important,Somewhat important,Very important,Somewhat important,Important,Very important
Somewhat important,Somewhat important,Extremely important,Somewhat important,Important,Extremely important,Somewhat important,Not important,Important,Important,Very important,Important,Important
Not important,Somewhat important,Not important,Important,Very important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Extremely important
Important,Important,Don't know/Unsure,Very important,Very important,Very important,Somewhat important,Important,Somewhat important,Not important,Somewhat important,Extremely important,Extremely important
Extremely important,Extremely important,Extremely important,Extremely important,Important,Important,Very important,Very important,Important,Extremely important,Very important,Very important,Extremely important
Important,Somewhat important,Not important,Very important,Extremely important,Very important,Important,Important,Not important,Not important,Not important,Somewhat important,Important
Extremely important,Extremely important,Important,Extremely important,Very important,Important,Important,Very important,Not important,Important,Somewhat important,Not important,Very important
Extremely important,Extremely important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Extremely important,Not important,Extremely important,Very important,Extremely important
Very important,Extremely important,Somewhat important,Important,Extremely important,Very important,Not important,Very important,Very important,Somewhat important,Important,Important,Extremely important
Very important,Extremely important,Not important,Extremely important,Somewhat important,Important,Somewhat important,Very important,Not important,Important,Not important,Not important,Somewhat important
Extremely important,Extremely important,Not important,Very important,Very important,Somewhat important,Not important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Extremely important
Not important,Not important,Not important,Not important,Somewhat important,Important,Important,Not important,Not important,Somewhat important,Very important,Very important,Important
Extremely important,Extremely important,Not important,Important,Very important,Extremely important,Somewhat important,Extremely important,Not important,Somewhat important,Very important,Important,Important
Extremely important,Extremely important,Don't know/Unsure,Not important,Extremely important,Important,Important,Important,Not important,Not important,Not important,Not important,Not important
Somewhat important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Somewhat important,Important
Very important,Extremely important,Important,Extremely important,Very important,Very important,Important,Important,Not important,Important,Not important,Important,Important
Not important,Not important,Very important,Not important,Extremely important,Extremely important,Important,Important,Not important,Important,Not important,Not important,Extremely important
Very important,Very important,Don't know/Unsure,Extremely important,Important,Important,Important,Extremely important,Somewhat important,Extremely important,Not important,Not important,Very important
Somewhat important,Very important,Somewhat important,Extremely important,Important,Not important,Somewhat important,Not important,Not important,Somewhat important,Not important,Don't know/Unsure,Very important
Somewhat important,Very important,NA,Important,Somewhat important,Not important,Not important,Important,Not important,Somewhat important,Not important,Not important,Extremely important
Important,Important,Somewhat important,Very important,Important,Somewhat important,Extremely important,Not important,Important,Not important,Somewhat important,Very important,Somewhat important
Important,Extremely important,Somewhat important,Extremely important,Somewhat important,Very important,NA,Somewhat important,NA,Somewhat important,Somewhat important,Somewhat important,Somewhat important
Extremely important,Extremely important,Don't know/Unsure,Extremely important,Very important,Very important,Very important,Important,Important,Important,Important,Don't know/Unsure,Very important
Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Not important,Not important,Not important,Extremely important
Important,Important,Important,Important,Important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Important,Don't know/Unsure,Don't know/Unsure
Somewhat important,Somewhat important,Not important,Very important,Somewhat important,Not important,Not important,Important,Somewhat important,Important,Not important,Not important,Extremely important
Important,Extremely important,Important,Extremely important,Somewhat important,Important,Very important,Somewhat important,Important,Important,Somewhat important,Very important,Very important
Somewhat important,Somewhat important,Not important,Very important,Not important,Not important,Somewhat important,Not important,Not important,Important,Not important,Important,Somewhat important
Somewhat important,Somewhat important,Not important,Very important,Important,Somewhat important,Important,Very important,Not important,Not important,Not important,Not important,Somewhat important
Very important,Very important,Not important,Very important,Very important,Extremely important,Important,Very important,Important,Somewhat important,Somewhat important,Important,Very important
Somewhat important,Important,Not important,Important,Important,Very important,Somewhat important,Important,Not important,Not important,Not important,Somewhat important,Important
Important,Important,Not important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Not important,Somewhat important,Very important,Somewhat important
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Somewhat important,Somewhat important,Important,Very important
Somewhat important,Extremely important,Extremely important,Not important,Important,Very important,Very important,Very important,Not important,Not important,Somewhat important,Somewhat important,Somewhat important
Important,Important,Not important,Important,Not important,Important,Not important,Important,Not important,Important,Not important,Not important,Not important
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not important,Not important,Not important,Not important,Very important,Somewhat important,Important,Not important,Not important,Important,Somewhat important,Somewhat important,Somewhat important
Extremely important,Extremely important,Important,Extremely important,Not important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Somewhat important,Very important,Very important
Somewhat important,Important,Extremely important,Extremely important,Very important,Not important,Not important,Not important,Not important,Extremely important,Not important,Not important,Important
Not important,Important,Somewhat important,Important,Important,Very important,Important,Not important,Not important,Not important,Not important,Somewhat important,Important
Very important,Extremely important,Important,Don't know/Unsure,Important,Important,Important,Very important,Important,Important,Important,Very important,Very important
Extremely important,Extremely important,Very important,Extremely important,Important,Important,Somewhat important,Somewhat important,Don't know/Unsure,Not important,Somewhat important,Somewhat important,Extremely important
Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Not important,Not important,Somewhat important,Not important,Not important,Not important,Not important,Somewhat important
Very important,Very important,Very important,Very important,Important,Very important,Important,Extremely important,Somewhat important,Not important,Not important,Very important,Important
Somewhat important,Somewhat important,Not important,Not important,Important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Important,Important,Important
Important,Important,Not important,Very important,Extremely important,Extremely important,Extremely important,Don't know/Unsure,Not important,Not important,Not important,Important,Very important
Somewhat important,Somewhat important,Somewhat important,Very important,Important,Important,Very important,Very important,Somewhat important,Important,Somewhat important,Extremely important,Important
Important,Important,Not important,Somewhat important,Somewhat important,Not important,Not important,Important,Not important,Not important,Not important,Somewhat important,Somewhat important
Somewhat important,Somewhat important,Not important,Extremely important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Not important,Important
Very important,Extremely important,Somewhat important,Important,Somewhat important,Important,Important,Important,Not important,Somewhat important,Somewhat important,Important,Very important
Extremely important,Extremely important,Somewhat important,Very important,Somewhat important,Important,Important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important
Somewhat important,Important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Important,Not important,Not important,Not important,Important,Very important
Extremely important,Very important,Very important,Extremely important,Somewhat important,Important,Somewhat important,Important,Not important,Important,Somewhat important,Important,Important
Important,Important,Very important,Extremely important,Not important,Not important,Not important,Important,Not important,Not important,Not important,Important,Important
Important,Important,Very important,Important,Somewhat important,Very important,Very important,Very important,Not important,Somewhat important,Somewhat important,Important,Extremely important
Not important,Not important,Not important,Somewhat important,Very important,Very important,Very important,Important,Extremely important,Somewhat important,Very important,Extremely important,Very important
Somewhat important,Important,Not important,Important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,Important,Somewhat important,Don't know/Unsure
Very important,Very important,Very important,Extremely important,Important,Important,Somewhat important,Important,Important,Very important,Somewhat important,Somewhat important,Very important
Extremely important,Extremely important,Somewhat important,Extremely important,Important,Very important,Somewhat important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important
Important,Important,Somewhat important,Extremely important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Not important,Very important,Extremely important
